Loan_ID,Borrower_Credit_Score,Debt_to_Income_Ratio,Loan_to_Value_Ratio,Annual_Income,Loan_Amount,Loan_Term_Years,Collateral_Value,Industry_Sector,Credit_History_Length_Years,Past_Due_Payments,Consumer_Confidence_Index,Business_Confidence_Index,Inflation_Rate,GDP_Growth_Rate,Loan_Type,Credit_Rating
51,334,0.5950878968153591,0.5418168840118827,69335.85704593331,60447.17433040327,5,887289.9709861667,Technology,18,2,0.7025345191204477,0.44575884393576914,0.14257954231163772,0.8827713612656366,Corporate,Caa
52,505,0.13792577864117747,1.0080383109706523,96338.45363718418,417190.6358688555,13,44446.46067916913,Consumer Goods,14,4,0.913551770099884,0.735197947814659,0.45694615610410616,0.8808894620470422,Personal,B
53,380,0.43089535690726044,0.7354286286313345,148203.80530618894,76494.95878077655,27,795028.5744996122,Energy,10,8,0.2773477042390856,0.4537437168474323,0.44183547840545845,0.7421605533599398,Personal,Caa
54,687,0.3241140072630445,0.9774578921601624,90887.73071470513,367974.8593053775,9,84662.95244380263,Real Estate,24,0,0.6969396082810382,0.57207308341188,0.5246658503916943,0.3125132512502722,Government,B
55,301,0.32330095055332797,0.9320572102639774,57610.51184480896,149911.92767676016,10,584769.9189523098,Real Estate,27,8,0.30397928899594784,0.9140634992739577,0.9304940462806971,0.08655411557780945,Government,Caa
56,689,0.3288228080167701,0.8521351814027888,118145.93990924441,133685.62823518476,11,350661.832162725,Healthcare,7,0,0.06797085120188784,0.7130240006387527,0.618184391489242,0.9867695580481699,Personal,B
57,405,0.22934088690071422,1.0970646880376884,153006.48694869477,411526.0259975132,6,27477.648372078573,Consumer Goods,14,3,0.08275237536734337,0.9968376788866948,0.08999132226200812,0.5684874841765747,Personal,Caa
58,776,0.45778141366611624,0.9960829021002174,84537.61619050079,278339.8643954183,21,106122.50996568381,Healthcare,3,0,0.7023623158759893,0.0765694480683754,0.43072980766129343,0.11060247592757544,Personal,B
59,701,0.4607882630425134,1.1226885801514044,50701.28617955783,106721.40356257254,27,360188.95195795316,Technology,11,7,0.14928775019932572,0.7503888775794678,0.4557434041195484,0.9594069732971081,Corporate,B
60,461,0.24119855505291352,0.6971226243721345,171022.50750803604,6260.394201102352,27,954215.8774383233,Real Estate,15,6,0.9965272823786506,0.7326952765065424,0.8260258242408511,0.4572666272793281,Corporate,B
61,501,0.5176532304292251,0.7436892672162214,72976.31729601094,486652.2653029016,24,163283.74710110298,Real Estate,19,2,0.5435949755034695,0.10886926754540138,0.51708964153488,0.9622695243082735,Government,Caa
62,569,0.258422471825165,0.9353659448673282,117178.5421981231,218536.1636156856,5,279257.2890982699,Energy,23,4,0.31249336647039283,0.9659386422712113,0.43232667414217196,0.3651801368809585,Personal,B
63,570,0.46254656199327115,1.176525106153215,147528.33541317133,201724.2834714722,5,994191.7439588362,Finance,29,1,0.6052483938106251,0.8452371509808652,0.13442423982017182,0.9093475157842957,Corporate,B
64,755,0.16049988375603322,0.7601074695360268,83902.78406701752,29905.720177841744,16,485814.27412988216,Energy,12,9,0.09010666430380598,0.5116696478934494,0.7798603619663926,0.8533424986245156,Government,Ba
65,761,0.18435082140187284,0.5226055550472438,140268.2113533111,447729.71732872655,24,269622.65561126,Technology,27,4,0.05282092052361442,0.22044472450604036,0.7715148083732332,0.47125822932475836,Government,Ba
66,551,0.2578978222541256,0.8121215687953697,108150.61609505981,74590.90948890554,25,619780.0748172498,Consumer Goods,5,4,0.5370834580362265,0.18642512859532412,0.20035636785516786,0.31234214048068887,Personal,B
67,595,0.3969368838339308,0.8807506937703162,126974.23137105384,171050.57724685504,8,441671.9450276749,Finance,9,8,0.17933425397409175,0.1276427920490648,0.6607297677084767,0.7404860247371783,Corporate,B
68,637,0.4227557427393497,1.0606911860896802,130397.93761488025,213446.42801797102,15,859725.0451836117,Energy,26,4,0.07255389258055622,0.1934941470170486,0.0838438591645192,0.8504163027475211,Corporate,B
69,352,0.2981780859837374,1.0100203359976472,170105.61677247065,406002.34564613306,15,17899.35193390419,Real Estate,7,1,0.6279284681485064,0.9247102993397253,0.5779024114028455,0.04267261034607739,Corporate,Caa
70,516,0.13891957655525702,1.1752638765028354,141575.4664840072,182935.98290965235,9,996808.842614217,Consumer Goods,15,2,0.44893174185682505,0.6349021857937447,0.5429183723065156,0.22483945659573012,Corporate,B
71,487,0.2868173260463621,1.0478779323895262,74932.13767134977,268073.9584646425,15,75649.31695154711,Healthcare,1,5,0.4970798429222789,0.12468577709618689,0.12498635822042459,0.4298980598861758,Corporate,Caa
72,679,0.44438375797957574,0.7090399059475179,40132.73799353586,217222.07747257865,25,541752.4495241474,Technology,1,0,0.7643380286230715,0.9216428860555801,0.6626346555805868,0.20787575059853935,Personal,B
73,792,0.43549773056515795,0.9489662176861187,30337.542492772565,159363.12408918224,8,700425.9900325988,Healthcare,6,5,0.6880764274839287,0.05378784750559085,0.08687934775444928,0.27130754207291363,Personal,B
74,340,0.18009820660272138,0.9705688353775865,183750.95541038923,473420.0270299316,14,554331.898738565,Real Estate,21,4,0.8054858130696412,0.4090840542196391,0.8130789606948772,0.514757721803238,Corporate,Caa
75,456,0.10389198513448358,1.198614360374366,190158.70880637507,399454.0213591231,7,307766.02152955194,Finance,5,1,0.08842944349260418,0.7426261362933321,0.1519493657587795,0.3829031106342975,Government,B
76,314,0.4764908086480584,0.5971165378587443,45998.95290299355,91304.71518752477,29,856878.4414939176,Healthcare,11,1,0.08225102880743762,0.8219858350649721,0.4265551024219646,0.9344568621126387,Personal,Caa
77,364,0.15318408319262186,0.6339278518833198,112799.11510798216,279579.63576932397,23,436118.80044281227,Real Estate,11,1,0.5771042027633071,0.8431009511984761,0.8508809733332633,0.8418601238765256,Corporate,B
78,820,0.14117457198214275,0.6088595508060822,55771.18458829085,399297.25894583185,12,307694.32871519425,Healthcare,29,2,0.9228967482791741,0.945182462317849,0.0647254838734862,0.20821682447202572,Corporate,Ba
79,643,0.10135060841708174,0.9123420799161747,191287.34473969438,291996.03645121015,1,770650.3640789551,Technology,28,9,0.7461720012686066,0.2678820089744114,0.8010631273344581,0.9482178112553887,Corporate,Ba
80,428,0.3163006629784636,0.5947107505638141,71961.52785982903,249420.74953798583,15,154397.30931444676,Healthcare,14,1,0.7013465366047503,0.38248318861060504,0.7473397922289315,0.21694896032147792,Corporate,Caa
81,771,0.3516319504504072,0.9592053962331748,115280.00625148982,40669.4017327367,7,212958.95813783907,Technology,8,2,0.35400530351970005,0.63391090365643,0.29174993872297217,0.5965344918376287,Government,Ba
82,362,0.41883202307429535,1.0626418356049532,58155.43259459585,57503.01081071735,15,260242.06831582155,Technology,27,8,0.5691404370862966,0.8766180813758164,0.8956708088424898,0.3068928858520591,Personal,Ca
83,438,0.24803192035629293,0.8029550469448024,86569.38436552059,126393.56992433759,10,440532.1677413377,Energy,24,2,0.6961539159964447,0.6009665050539448,0.9149108310824808,0.28470399424826487,Personal,Caa
84,798,0.45521235819339,0.892479557322625,75357.08135762074,259131.3621414481,6,30132.94388891684,Consumer Goods,14,6,0.5053898703387893,0.27208688506975565,0.7315807421782874,0.5403008156620931,Government,B
85,691,0.1846659287034708,1.1389054583039036,110822.42730527156,493711.85886143043,16,991857.8955873847,Finance,9,2,0.2306267185209847,0.8020183623324083,0.8269571656940596,0.9469081333736109,Personal,B
86,718,0.5159950265551737,0.8986961423042508,101362.93354376523,402121.7650780219,14,604149.4433461962,Healthcare,11,5,0.6789075956993895,0.90199015155033,0.14500788621910699,0.41889342768886517,Personal,B
87,588,0.3859241644452228,0.6460238864244072,86235.62508206381,59475.245229827924,12,971012.2458086334,Energy,11,8,0.5152273456706482,0.008356437465413147,0.4422491854817422,0.2813377361218883,Personal,B
88,678,0.3919449116860242,0.7402356589103533,47999.19500023006,360043.399880928,17,809378.7323601778,Real Estate,20,5,0.24994725655008154,0.0050675621330384946,0.969885676173739,0.2503040883769567,Government,B
89,789,0.20488770688955407,0.870892062337628,112362.79374118119,406183.3128905005,10,142966.8965080126,Consumer Goods,21,3,0.5277772038135268,0.9539996545569557,0.09573074833467887,0.30908024146137125,Corporate,Ba
90,530,0.13705437465019413,0.6084283798427095,174535.3630755639,210060.32277889922,29,216977.37455587505,Finance,16,4,0.3428731935800612,0.556503133670486,0.4160647979405694,0.4446573997625973,Corporate,Ba
91,340,0.3323624015403357,0.9287638847498085,154137.96721954623,168423.07357136215,10,44104.78593288862,Consumer Goods,12,7,0.06673784735876276,0.08827464758950487,0.962031399367625,0.873139085107549,Government,Caa
92,327,0.4078059759611795,1.199472264318818,152497.7303076538,294384.4764986403,8,835452.5726856827,Healthcare,7,7,0.4723421848093585,0.35645092487104313,0.5860428748393692,0.3147708238179907,Personal,Caa
93,434,0.1475232293308428,0.9567744754586751,92235.59524670248,261981.00970938487,25,597523.0379538413,Energy,3,6,0.9688168765320125,0.5672620667370487,0.02886688593108222,0.2724191540348002,Personal,Caa
94,500,0.5752672372640834,0.7606878008101088,150431.24371594872,136280.73486946698,11,222914.39973719002,Healthcare,12,4,0.24916283861664368,0.6252246314181331,0.8522097796278381,0.574205587233311,Corporate,B
95,332,0.5902071801164034,0.7322225441767437,109140.35183798616,201702.0261385554,27,970383.951686376,Healthcare,6,8,0.4410090969874594,0.1631653034909093,0.32286980164988044,0.591171814345271,Government,Caa
96,347,0.37272834769624597,1.1521223258250926,55546.93544248878,274496.5705633149,18,739371.5851577304,Finance,19,0,0.8214512537654493,0.8400508751320268,0.03594233078621989,0.44566105380366927,Corporate,Ca
97,802,0.5750345776367031,1.1100600034050592,101238.45749626867,292062.5613030271,13,708463.6371771101,Consumer Goods,4,3,0.9498245651684936,0.5448986115219854,0.8309358707425099,0.19060578842293807,Corporate,B
98,706,0.18972261879042654,0.8306510341391371,52565.56727537156,268216.0132107866,20,274323.9570175261,Real Estate,10,9,0.05588544085933467,0.5251871006284834,0.7456387891266648,0.1910915707435199,Government,B
99,398,0.11271034258976245,0.7473901951501989,49462.0792141111,423823.21798817685,16,320239.8942550441,Consumer Goods,8,6,0.749682176660289,0.5409089360640794,0.5310258036144114,0.5201851371511886,Government,Caa
100,846,0.11970476764519497,0.9973249985175168,33920.082437793826,20713.79469471643,27,671299.0532227854,Finance,10,4,0.3218906104181568,0.062255831573697296,0.3631045656259312,0.284898940670111,Corporate,Ba
101,761,0.3937562397133896,0.7201517328879979,78085.23116480082,169826.92181840405,23,597616.1319148989,Technology,16,3,0.10734657515966994,0.75215165397879,0.7584913753201658,0.15303889853810737,Corporate,Ba
102,304,0.13082094171841177,0.5835822625767784,86248.71332113062,376167.6388540984,14,650810.7077038413,Technology,11,4,0.7557325394352467,0.08056139426367348,0.5980110177897777,0.026425896567839113,Personal,Caa
103,517,0.5792728034120436,0.7171065486110684,148905.43119954376,327632.3885684234,12,880034.5543247705,Technology,4,0,0.47097372518279557,0.463250199439463,0.23548102545542737,0.1342873001232021,Government,B
104,802,0.1709666053796993,0.8040071874820414,121460.81343041323,459541.98144502117,13,168796.91393838538,Real Estate,27,3,0.20708617427050546,0.5890638853289146,0.8796698145549692,0.8311561724030196,Government,Ba
105,697,0.25236140302648935,0.6787879631878957,175936.45104906303,296070.4092274663,27,125170.08315707273,Finance,28,0,0.7174336426555791,0.21147961519038128,0.5340327003987513,0.15582978751551002,Corporate,Ba
106,692,0.5112589009991743,0.651769608086406,60000.0065399616,320884.6985724931,13,568986.8274129345,Finance,13,1,0.22109542035297092,0.4821579833554781,0.8580557249598358,0.0027081091706951943,Personal,B
107,506,0.20937016155204655,0.5042981138652884,75212.62979616839,353948.84426077094,16,505154.1843055738,Technology,28,8,0.6292384454441929,0.2864434726983248,0.08274537954311412,0.39136154601060735,Government,B
108,314,0.2214842292272853,0.9415899469828326,189982.93889438067,97169.29656748995,1,408841.1883612945,Finance,20,4,0.33426276459153226,0.709617359410475,0.2293072755108131,0.9281563657151014,Personal,Caa
109,760,0.4211544778955091,0.9301142596212832,105487.69212256843,377855.7858229152,24,905665.6297382474,Finance,23,8,0.22692953605277022,0.5336341350033766,0.3138948384742495,0.5215247087639346,Government,Ba
110,540,0.23804304424463116,0.6316176664395097,164138.6603182715,153445.37107779607,12,562796.4537650543,Healthcare,3,8,0.039696994432081634,0.09262054666110497,0.8454847985571711,0.010286246974749225,Government,Ba
111,395,0.20872381700385015,1.160555050267829,113668.50027041315,215128.08413249202,9,571578.8601155446,Real Estate,28,9,0.15642768732186674,0.5998733314644318,0.8719957367849999,0.7092737680756844,Government,Caa
112,784,0.22708885715282875,0.7866996312633306,110084.56169437709,11933.21827844523,13,372765.02402438776,Finance,3,4,0.9346120667082658,0.1362619323800841,0.7711308988348763,0.40069488118686347,Government,Ba
113,706,0.3453237496703634,0.5178356035034146,55179.768965039206,422565.1358863469,13,350631.1176398656,Energy,27,2,0.45062527212010295,0.002749779321186918,0.5825319061013275,0.7687450027606322,Personal,Ba
114,530,0.5830499363657411,0.6538403420853904,174703.93386125966,476978.9825921547,8,987728.4008113227,Technology,17,3,0.8450045482730829,0.14626186905330985,0.4553915089888756,0.5968450521068005,Personal,B
115,470,0.5161189707806142,0.9844472389898362,43320.39769309789,34794.52083647166,18,626842.039519305,Consumer Goods,7,4,0.7605392613378461,0.004296842897533293,0.09467476459184698,0.1394651758692923,Personal,Caa
116,840,0.24230513228008857,0.6411339291674167,82744.38609101706,319424.08898620633,24,826864.5198900842,Consumer Goods,11,5,0.6921238425659302,0.9879649362993594,0.6555191112765011,0.4718828784886563,Personal,Ba
117,335,0.2816866042490489,0.5377387212132393,144489.5721924305,480585.44469826086,24,452983.57170530956,Real Estate,4,5,0.7368836589861198,0.6338018936588142,0.83533343767356,0.5552213516533461,Corporate,B
118,824,0.33225612525203874,0.932394354976271,116233.78363736506,305415.89018861076,18,199935.76200970667,Finance,16,7,0.16765706343656273,0.6255133799780113,0.8591001799673149,0.5004138373252183,Personal,Ba
119,459,0.5894648235084952,0.8628483534159281,179834.31558516115,399985.7386580971,27,331592.58322491363,Healthcare,7,7,0.2466218573805704,0.9332220470865096,0.24102940977657206,0.7876456220681174,Corporate,Caa
120,542,0.18619523416785785,1.0328860852689172,36680.65197394571,63473.7484927467,9,352665.9944601448,Finance,16,7,0.7784871206051936,0.127538569361892,0.586954381939557,0.8496178135788625,Corporate,Caa
121,385,0.2787415517459414,1.0408419719808992,140399.27831495414,126200.63756690233,1,569263.399679223,Technology,18,2,0.667915122405217,0.02763526307668751,0.943511688149856,0.6666383449627079,Corporate,Caa
122,327,0.4647130469913575,1.17195467765141,111169.13000661123,176138.75368102523,7,163069.52686247387,Energy,21,3,0.8116366612749992,0.6825940039602248,0.8536691324664822,0.03732533894943579,Personal,Ca
123,639,0.5819718671344717,0.5399122808129772,56233.00998950066,490677.49157941254,13,393147.9399779578,Finance,12,3,0.6857759150436579,0.6178344561815153,0.15729871570445664,0.3524777809939865,Government,B
124,630,0.17783760638211885,0.5272925938727598,156352.8242091409,391980.0953305868,15,109571.40386471404,Consumer Goods,23,6,0.7855335481305302,0.9046866867854971,0.3921798895844196,0.36885779658330153,Corporate,Ba
125,805,0.21368997709717288,1.1910379336193624,99922.16541902408,443403.12039984687,2,501565.0846174787,Consumer Goods,28,4,0.5827455023254327,0.32320248604432433,0.09796559168112973,0.22248374874005916,Personal,Ba
126,647,0.21284733719521512,0.9513935143878677,120368.9237202362,246102.8277441055,24,947950.1824592616,Real Estate,28,3,0.8169284557756308,0.5525028273588769,0.8331196949866733,0.4276296734652756,Personal,B
127,772,0.11046601474603676,1.0007593777673,194435.23128172843,359818.65133552137,8,345544.33814721357,Energy,9,9,0.32359010584984627,0.5646284537522099,0.606779091269467,0.18771379855764359,Government,Ba
128,530,0.4020578124904748,0.5675374138146179,112659.11377428206,367124.6467194485,20,59215.32592303996,Technology,10,4,0.06794421735118195,0.25659334696443903,0.7004540167077,0.7555778620253837,Personal,B
129,489,0.43535153707294694,0.5488688835938359,169973.38714496928,286616.9151183346,24,612672.9148304047,Real Estate,4,0,0.20130208182366238,0.3600427209933206,0.16464782572807934,0.8344212035405182,Personal,B
130,524,0.4012629450626267,0.6121775157550396,160828.17896801152,439594.72959866066,5,638382.3729572668,Finance,6,3,0.1517381505337877,0.34842709438678865,0.7258601719782001,0.934389794165372,Personal,B
131,684,0.13566149470640718,0.7990369219582287,142668.28055734583,83334.35684920446,9,484774.01194487273,Energy,19,6,0.47235463759815877,0.8444592357515351,0.22536331027303702,0.014123614844293253,Government,Ba
132,676,0.13461506287281585,0.577123327913083,182458.06436955673,33472.24648323216,17,402890.9925103998,Healthcare,18,2,0.9044786957492988,0.3755207603484354,0.9729345814192777,0.5387963296121238,Personal,Ba
133,582,0.20519327724706202,0.8124336183085796,72772.27997932075,155507.96536621897,29,893737.95458437,Real Estate,26,6,0.3109277452642065,0.6231176333162636,0.8750778956566146,0.20909207313849298,Personal,B
134,558,0.24514725784945732,0.8930751321709357,169531.10934950275,48694.54624486397,21,939052.8114315114,Consumer Goods,12,4,0.517046779182461,0.37388451622232166,0.01601547949264759,0.5307773233156401,Personal,B
135,658,0.49327182795502367,0.5002330775195756,94223.87302754822,34856.500514445186,14,676429.9668721335,Technology,27,0,0.81507264267605,0.08487902508121326,0.673541136121509,0.07077917039806747,Government,Ba
136,755,0.17969513287446057,0.5799719415543843,168123.45131380763,212449.44946241676,29,506212.7247878157,Finance,18,3,0.871096865424398,0.9257799377648094,0.33700322258675797,0.7652691991567515,Corporate,Baa
